pizza_id,order_id,pizza_name_id,quantity,order_date,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_ingredients,pizza_name
0,1000,margarita_s,1,2023-01-26,20:00,5.26,5.26,S,Premium,"champiñon, pimiento",Margarita
1,1000,napolitana_s,3,2023-02-03,11:06,11.72,35.16,S,Clásica,"aceituna, queso, jamon, pimiento",Napolitana
2,1001,napolitana_xl,2,2023-01-11,11:58,10.47,20.94,XL,Vegetariana,"aceituna, jamon",Napolitana
3,1001,cuatro_quesos_s,5,2023-02-16,18:24,11.68,58.4,S,Premium,"pepperoni, pimiento, jamon, champiñon",Cuatro_quesos
4,1002,mexicana_s,5,2023-02-12,12:12,7.15,35.75,S,Vegetariana,"pepperoni, queso, jamon, aceituna",Mexicana
5,1002,margarita_xl,5,2023-03-02,14:25,11.46,57.3,XL,Premium,"aceituna, champiñon, pimiento, jamon, tomate",Margarita
6,1003,margarita_l,1,2023-01-21,18:48,7.04,7.04,L,Premium,"champiñon, pimiento, tomate",Margarita
7,1003,cuatro_quesos_s,4,2023-02-04,20:48,14.58,58.32,S,Vegetariana,"pimiento, queso, pepperoni",Cuatro_quesos
8,1004,mexicana_m,2,2023-02-27,14:33,11.9,23.8,M,Especial,"champiñon, pepperoni, aceituna, queso, tomate",Mexicana
9,1004,mexicana_l,5,2023-02-09,12:25,7.82,39.1,L,Premium,"jamon, pepperoni",Mexicana
10,1005,hawaiiana_s,3,2023-01-13,17:49,7.81,23.43,S,Vegetariana,"pimiento, queso, jamon, aceituna, champiñon",Hawaiiana
11,1005,carbonara_s,3,2023-02-16,21:24,14.72,44.16,S,Vegetariana,"tomate, queso, jamon, champiñon",Carbonara
12,1006,cuatro_quesos_l,2,2023-01-07,21:23,5.78,11.56,L,Premium,"champiñon, queso, tomate, aceituna, jamon",Cuatro_quesos
13,1006,napolitana_l,2,2023-01-03,14:56,5.79,11.58,L,Vegetariana,"aceituna, pepperoni, champiñon",Napolitana
14,1007,cuatro_quesos_xl,1,2023-01-04,13:47,7.51,7.51,XL,Vegetariana,"tomate, jamon, aceituna",Cuatro_quesos
15,1007,carbonara_l,5,2023-01-06,20:21,11.81,59.05,L,Premium,"pimiento, tomate, jamon",Carbonara
16,1008,carbonara_xl,2,2023-01-17,15:10,8.6,17.2,XL,Especial,"champiñon, pepperoni, pimiento",Carbonara
17,1008,cuatro_quesos_m,1,2023-03-01,14:08,10.4,10.4,M,Especial,"pimiento, champiñon, queso",Cuatro_quesos
18,1009,napolitana_m,1,2023-02-12,16:05,5.39,5.39,M,Especial,"aceituna, jamon, pepperoni, tomate, queso",Napolitana
19,1009,napolitana_s,5,2023-01-10,20:16,10.09,50.45,S,Clásica,"tomate, jamon, queso, champiñon, pepperoni",Napolitana
20,1010,cuatro_quesos_l,2,2023-02-12,18:28,5.89,11.78,L,Premium,"jamon, pimiento, tomate",Cuatro_quesos
21,1010,carbonara_m,5,2023-01-16,17:22,8.9,44.5,M,Especial,"jamon, queso, champiñon, aceituna",Carbonara
22,1011,mexicana_m,3,2023-02-23,14:18,7.92,23.76,M,Clásica,"queso, champiñon",Mexicana
23,1011,margarita_m,4,2023-02-15,12:03,12.56,50.24,M,Vegetariana,"aceituna, pepperoni, pimiento",Margarita
24,1012,napolitana_m,5,2023-02-07,22:03,8.29,41.45,M,Premium,"queso, pimiento",Napolitana
25,1012,mexicana_s,3,2023-02-25,21:49,10.35,31.05,S,Premium,"jamon, champiñon, queso",Mexicana
26,1013,napolitana_m,5,2023-01-01,22:13,7.19,35.95,M,Premium,"tomate, queso, champiñon",Napolitana
27,1013,carbonara_l,1,2023-01-27,19:07,14.77,14.77,L,Clásica,"queso, pimiento, aceituna, jamon, pepperoni",Carbonara
28,1014,carbonara_s,5,2023-02-22,22:50,9.96,49.8,S,Vegetariana,"champiñon, jamon, pimiento",Carbonara
29,1014,carbonara_l,2,2023-02-19,21:19,10.17,20.34,L,Clásica,"aceituna, tomate, pimiento, queso",Carbonara
30,1015,hawaiiana_m,1,2023-02-17,11:19,10.1,10.1,M,Clásica,"queso, pepperoni, tomate",Hawaiiana
31,1015,cuatro_quesos_xl,2,2023-02-24,11:05,11.96,23.92,XL,Especial,"aceituna, queso, champiñon",Cuatro_quesos
32,1016,napolitana_s,4,2023-02-05,13:48,14.7,58.8,S,Especial,"queso, pimiento, champiñon",Napolitana
33,1016,margarita_m,5,2023-02-05,21:10,10.21,51.05,M,Especial,"queso, aceituna, jamon, pimiento, pepperoni",Margarita
34,1017,margarita_s,5,2023-01-22,22:32,11.48,57.4,S,Especial,"pepperoni, tomate, jamon, queso",Margarita
35,1017,margarita_l,4,2023-02-01,18:35,8.66,34.64,L,Especial,"queso, aceituna, pepperoni, pimiento",Margarita
36,1018,carbonara_l,1,2023-01-05,19:16,6.05,6.05,L,Especial,"queso, pepperoni",Carbonara
37,1018,hawaiiana_l,5,2023-02-08,19:56,7.01,35.05,L,Clásica,"champiñon, queso, tomate, pimiento",Hawaiiana
38,1019,margarita_xl,2,2023-01-25,17:53,14.59,29.18,XL,Vegetariana,"aceituna, jamon, tomate",Margarita
39,1019,mexicana_xl,2,2023-01-22,17:44,9.82,19.64,XL,Especial,"tomate, jamon, pepperoni",Mexicana
40,1020,napolitana_l,4,2023-01-18,10:50,10.43,41.72,L,Premium,"pepperoni, aceituna",Napolitana
41,1020,napolitana_s,3,2023-02-26,10:26,5.67,17.01,S,Especial,"pimiento, jamon, pepperoni, champiñon",Napolitana
42,1021,margarita_m,2,2023-01-27,11:45,13.7,27.4,M,Vegetariana,"pepperoni, aceituna, queso, tomate, pimiento",Margarita
43,1021,hawaiiana_m,5,2023-02-27,16:20,5.33,26.65,M,Clásica,"queso, champiñon, jamon, aceituna, pimiento",Hawaiiana
44,1022,cuatro_quesos_m,1,2023-02-16,10:04,9.2,9.2,M,Vegetariana,"champiñon, jamon, tomate, aceituna",Cuatro_quesos
45,1022,cuatro_quesos_xl,5,2023-02-18,11:31,13.67,68.35,XL,Especial,"pepperoni, champiñon",Cuatro_quesos
46,1023,napolitana_xl,3,2023-01-25,19:28,11.37,34.11,XL,Premium,"aceituna, tomate, champiñon",Napolitana
47,1023,hawaiiana_xl,3,2023-02-14,22:39,6.48,19.44,XL,Especial,"pimiento, tomate",Hawaiiana
48,1024,hawaiiana_m,4,2023-02-10,12:29,10.66,42.64,M,Premium,"tomate, aceituna",Hawaiiana
49,1024,napolitana_l,3,2023-02-04,18:30,7.86,23.58,L,Clásica,"pepperoni, jamon, tomate",Napolitana
50,1025,margarita_l,2,2023-01-15,21:14,8.08,16.16,L,Vegetariana,"tomate, pepperoni, jamon, pimiento",Margarita
51,1025,cuatro_quesos_xl,4,2023-01-15,17:55,10.77,43.08,XL,Vegetariana,"aceituna, pepperoni, tomate",Cuatro_quesos
52,1026,napolitana_l,5,2023-02-14,22:01,5.52,27.6,L,Especial,"pimiento, queso, aceituna, tomate",Napolitana
53,1026,cuatro_quesos_l,3,2023-01-26,21:58,5.55,16.65,L,Vegetariana,"champiñon, aceituna, pepperoni, queso",Cuatro_quesos
54,1027,margarita_s,3,2023-02-07,22:20,6.09,18.27,S,Premium,"aceituna, jamon, pepperoni",Margarita
55,1027,carbonara_m,2,2023-01-01,14:33,11.11,22.22,M,Vegetariana,"champiñon, queso",Carbonara
56,1028,carbonara_xl,3,2023-03-01,10:48,10.04,30.12,XL,Premium,"queso, tomate",Carbonara
57,1028,margarita_l,3,2023-02-22,18:10,10.72,32.16,L,Clásica,"queso, jamon, pepperoni, tomate",Margarita
58,1029,margarita_m,1,2023-02-04,12:23,11.32,11.32,M,Vegetariana,"tomate, jamon, queso, aceituna",Margarita
59,1029,cuatro_quesos_s,1,2023-02-09,17:49,6.18,6.18,S,Vegetariana,"champiñon, jamon",Cuatro_quesos
60,1030,napolitana_m,4,2023-02-13,20:08,9.42,37.68,M,Vegetariana,"queso, aceituna, pimiento, tomate",Napolitana
61,1030,napolitana_s,5,2023-01-09,22:50,8.41,42.05,S,Clásica,"pimiento, champiñon, queso, aceituna, tomate",Napolitana
62,1031,hawaiiana_l,2,2023-02-13,18:26,9.33,18.66,L,Especial,"pimiento, queso, jamon",Hawaiiana
63,1031,mexicana_l,1,2023-01-14,10:32,8.05,8.05,L,Vegetariana,"jamon, pepperoni, tomate",Mexicana
64,1032,margarita_s,3,2023-02-03,10:26,14.31,42.93,S,Premium,"pepperoni, aceituna, pimiento, champiñon, queso",Margarita
65,1032,margarita_xl,4,2023-01-15,11:46,11.61,46.44,XL,Premium,"queso, jamon, champiñon, tomate",Margarita
66,1033,margarita_xl,2,2023-02-14,14:03,5.51,11.02,XL,Premium,"pepperoni, queso, tomate, champiñon",Margarita
67,1033,cuatro_quesos_m,2,2023-01-07,20:53,6.52,13.04,M,Vegetariana,"tomate, champiñon, aceituna, pimiento",Cuatro_quesos
68,1034,carbonara_l,2,2023-02-02,19:41,8.04,16.08,L,Especial,"queso, pimiento, champiñon, tomate",Carbonara
69,1034,margarita_s,2,2023-01-21,10:09,8.95,17.9,S,Especial,"champiñon, pepperoni, pimiento",Margarita
70,1035,margarita_s,3,2023-02-12,10:24,6.38,19.14,S,Clásica,"tomate, pimiento",Margarita
71,1035,mexicana_m,5,2023-03-01,22:50,11.14,55.7,M,Vegetariana,"champiñon, tomate",Mexicana
72,1036,cuatro_quesos_l,2,2023-02-28,22:48,14.55,29.1,L,Especial,"champiñon, pepperoni",Cuatro_quesos
73,1036,carbonara_s,1,2023-01-01,21:48,6.94,6.94,S,Clásica,"pimiento, tomate",Carbonara
74,1037,napolitana_s,1,2023-01-24,14:08,6.71,6.71,S,Premium,"aceituna, tomate",Napolitana
75,1037,carbonara_m,3,2023-02-08,11:02,7.18,21.54,M,Vegetariana,"pepperoni, queso, champiñon",Carbonara
76,1038,napolitana_s,4,2023-02-23,21:59,8.52,34.08,S,Clásica,"queso, tomate, aceituna",Napolitana
